Vehicle,Description,StartLocation,EndLocation,MotionDuration,Mileage,Violations,StationaryDuration,NightDriveDuration,Stops,MaxSpeed,StopDuration,TotalDriveTime,Overrevving,Freewheeling,HarshBraking,HarshAcceleration,IdleTime,TotalWeekendMileage,NumberofNightTimeStops,NightDriveMileage,AverageSpeed,BatteryConnected,BatteryDisconnected,MaxDriving
KCY 489G,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 947V,,Kenya Association Of Manufacturers Mwanzi Road,Kenya Association Of Manufacturers Mwanzi Road,00:00:00,185,32,00:00:00,00:02:25,0,86,00:05:34,00:07:16,0,0,0,0,265,185,1,60,25,0,0,0
KCX 952Y,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCY 481D,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 528M,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCU 563U,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCY 492D,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,1,0,00:23:58,00:00:00,0,0,0,0,0,0,1,0,0,0,0,0
KCX 961Y,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCY 477D,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDM 325H,,Kahawa,Kahawa,00:00:00,46,36,00:00:00,00:00:05,5,80,00:21:23,00:01:59,0,0,0,0,168,0,2,3,23,0,0,0
KCZ 560G,,Muslim Centre ,Muslim Centre ,00:00:00,53,18,00:00:00,00:00:17,6,90,00:21:28,00:02:05,0,0,0,0,108,0,3,6,25,1,1,0
KCU 557U,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCU 547U,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 951V,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,45,243,00:00:00,00:00:27,3,60,00:22:16,00:01:27,0,0,0,0,446,0,2,14,31,120,120,0
KCU 549U,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDJ 215D,,Nakumatt Village Market Limuru Road,Nakumatt Village Market Limuru Road,00:00:00,140,57,00:00:00,00:01:31,8,83,00:18:15,00:05:04,0,0,0,0,384,0,3,50,28,0,0,0
KDB 454Z,,Giro Bank ,Giro Bank ,00:00:00,148,18,00:00:00,00:00:56,6,80,00:09:00,00:05:13,0,0,0,0,287,0,3,27,28,0,0,0
KCX 519Z,,Muslim Centre ,Muslim Centre ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 561M,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDD 112W,,Kenya Pipeline Company Ltd. Outer Ring Road,Kenya Pipeline Company Ltd. Outer Ring Road,00:00:00,133,28,00:00:00,00:02:47,5,86,00:17:23,00:05:29,0,0,0,0,435,0,0,75,24,0,0,0
KDH 764C,,Posta Kenya Uthiru ,Posta Kenya Uthiru ,00:00:00,142,6,00:00:00,00:01:21,5,77,00:06:35,00:09:25,0,0,0,0,365,0,1,50,15,0,0,0
KDC 135K,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 821E,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 472D,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDD 117W,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 527M,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,233,38,00:00:00,00:03:56,2,92,00:12:47,00:09:08,0,0,0,0,442,0,1,136,26,0,0,0
KDB 455Z,,Athi River Epz,Athi River Epz,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDH 915Q,,Vogueville Turbo Road,Vogueville Turbo Road,00:00:00,148,99,00:00:00,00:03:19,7,93,00:14:45,00:07:43,0,0,0,0,554,0,0,99,19,0,0,0
KDC 254H,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 511X,,Warren Enterprises Limited ,Warren Enterprises Limited ,00:00:00,0,0,00:00:00,00:00:00,1,0,00:03:43,00:00:00,0,0,0,0,0,0,1,0,0,0,0,0
KDD 986B,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 514X,,Kasarani Sportsview Hotel ,Kasarani Sportsview Hotel ,00:00:00,95,16,00:00:00,00:01:17,5,75,00:18:58,00:03:38,0,0,0,0,137,0,3,49,26,0,0,0
KDC 256H,,Playway Education Center ,Playway Education Center ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDG 263J,,Mesora Supermarket Mumias Road,Mesora Supermarket Mumias Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 562M,,Kenya Pipeline Company Ltd. Outer Ring Road,Kenya Pipeline Company Ltd. Outer Ring Road,00:00:00,108,33,00:00:00,00:00:55,6,111,00:19:16,00:02:38,0,0,0,0,109,0,1,34,41,0,0,0
KDE 065U,,Barclays Masaba Rd,Barclays Masaba Rd,00:00:00,152,12,00:00:00,00:03:13,4,107,00:17:03,00:05:08,0,0,0,0,368,0,2,115,30,0,0,0
KCY 480D,,Collindale Security Kampala Road,Collindale Security Kampala Road,00:00:00,144,30,00:00:00,00:01:43,4,61,00:07:36,00:06:58,0,0,0,0,340,0,1,44,21,0,0,0
KDD 687E,,Millers Court Ndemi Road,Millers Court Ndemi Road,00:00:00,147,21,00:00:00,00:02:17,5,91,00:09:33,00:06:03,0,0,0,0,495,0,2,58,24,0,0,0
KDE 064U,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDH 925J,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,150,5,00:00:00,00:07:15,1,72,00:01:20,00:21:57,0,0,0,0,99,0,0,50,7,0,0,0
KDC 818W,,Muslim Centre ,Muslim Centre ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDG 264J,,St. Austins Secondary School Olengruone Avenue,St. Austins Secondary School Olengruone Avenue,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCY 589K,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 978N,,Mai Loan Vietnamese Manyani Road West,Mai Loan Vietnamese Manyani Road West,00:00:00,35,4,00:00:00,00:00:00,1,77,00:08:29,00:01:05,0,0,0,0,31,0,0,0,32,0,0,0
KDC 513X,,Muslim Centre ,Muslim Centre ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 160K,,Pizza Inn Westlands Ring Road Westlands,Pizza Inn Westlands Ring Road Westlands,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 471D,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCY 722N,,Muslim Centre ,Muslim Centre ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 277W,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 950V,,Muslim Centre ,Muslim Centre ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCY 479D,,The Green House Church ,The Green House Church ,00:00:00,43,10,00:00:00,00:00:29,3,71,00:10:56,00:01:43,0,0,0,0,103,0,1,14,25,0,0,0
KCY 806Z,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCX 989Y,,Waguthu,Waguthu,00:00:00,86,24,00:00:00,00:01:28,6,91,00:10:42,00:03:54,0,0,0,0,291,0,2,39,22,0,0,0
KCX 520Z,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCU 548U,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,29,10,00:00:00,00:00:16,3,70,00:10:26,00:00:55,0,0,0,0,36,0,1,9,32,0,0,0
KCY 804Z,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCY 489G,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 947V,,Meditaranneo Restaurant Woodvale Grove,Meditaranneo Restaurant Woodvale Grove,00:00:00,90,6,00:00:00,00:01:57,2,64,00:05:02,00:07:41,0,0,0,0,293,0,0,37,12,0,0,0
KCX 952Y,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCY 481D,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 528M,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCU 563U,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCY 492D,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,1,0,00:23:58,00:00:00,0,0,0,0,0,0,1,0,0,0,0,0
KCX 961Y,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCY 477D,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDM 325H,,Kasarani,Kasarani,00:00:00,60,80,00:00:00,00:00:18,2,83,00:20:00,00:03:05,0,0,0,0,200,0,4,7,19,1,1,0
KCZ 560G,,D.Os Office Kayole ,D.Os Office Kayole ,00:00:00,0,0,00:00:00,00:00:00,1,0,00:23:58,00:00:00,0,0,0,0,0,0,1,0,0,0,0,0
KCU 557U,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCU 547U,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 951V,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCU 549U,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDJ 215D,,Total Juja Road,Total Juja Road,00:00:00,0,0,00:00:00,00:00:00,1,0,00:23:58,00:00:00,0,0,0,0,0,0,1,0,0,0,0,0
KDB 454Z,,Alvinas Filling Station Kariobangi South Outer Ring Road,Alvinas Filling Station Kariobangi South Outer Ring Road,00:00:00,166,25,00:00:00,00:01:00,0,72,00:09:25,00:06:42,0,0,0,0,268,0,2,26,25,0,0,0
KCX 519Z,,Muslim Centre ,Muslim Centre ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 561M,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDD 112W,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDH 764C,,Palacina Interiors Kitale Lane,Palacina Interiors Kitale Lane,00:00:00,159,16,00:00:00,00:01:35,2,84,00:11:28,00:11:06,0,0,0,0,599,0,2,57,14,0,0,0
KDC 135K,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 821E,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 472D,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDD 117W,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 527M,,Muslim Centre ,Muslim Centre ,00:00:00,0,3,00:00:00,00:00:00,0,0,00:00:13,00:00:00,0,0,0,0,1,0,0,0,0,0,0,0
KDB 455Z,,Athi River Epz,Athi River Epz,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDH 915Q,,Nakumatt Village Market Limuru Road,Nakumatt Village Market Limuru Road,00:00:00,118,63,00:00:00,00:02:02,1,75,00:09:32,00:05:24,0,0,0,0,631,0,1,62,22,0,0,0
KDC 254H,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 511X,,Warren Enterprises Limited ,Warren Enterprises Limited ,00:00:00,1,0,00:00:00,00:00:00,1,28,00:06:45,00:00:04,0,0,0,0,0,0,1,0,15,0,0,0
KDD 986B,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 514X,,Bid Apartments Karuna Road,Bid Apartments Karuna Road,00:00:00,118,31,00:00:00,00:01:00,0,82,00:08:56,00:05:34,0,0,0,0,278,0,3,30,21,0,0,0
KDC 256H,,Playway Education Center ,Playway Education Center ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDG 263J,,Mesora Supermarket Mumias Road,Mesora Supermarket Mumias Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 562M,,Allan Bobbes Restaurant River Side Drive,Allan Bobbes Restaurant River Side Drive,00:00:00,5,6,00:00:00,00:00:00,2,60,00:18:20,00:00:18,0,0,0,0,22,0,2,0,17,0,0,0
KDE 065U,,Nairobi Primary Mamlaka Road,Nairobi Primary Mamlaka Road,00:00:00,250,24,00:00:00,00:02:15,3,103,00:13:20,00:08:20,0,0,0,0,351,0,2,93,30,0,0,0
KCY 480D,,Collindale Security Kampala Road,Collindale Security Kampala Road,00:00:00,116,46,00:00:00,00:00:43,3,80,00:14:00,00:04:44,0,0,0,0,240,0,2,24,25,0,0,0
KDD 687E,,Nakumatt Village Market Limuru Road,Nakumatt Village Market Limuru Road,00:00:00,177,13,00:00:00,00:00:46,1,98,00:11:27,00:06:49,0,0,0,0,385,0,2,25,26,0,0,0
KDE 064U,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDH 925J,,Dagoretti,Dagoretti,00:00:00,59,14,00:00:00,00:00:00,1,59,00:06:34,00:07:00,0,0,0,0,92,0,1,0,8,0,0,0
KDC 818W,,Muslim Centre ,Muslim Centre ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDG 264J,,St. Austins Secondary School Olengruone Avenue,St. Austins Secondary School Olengruone Avenue,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCY 589K,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 978N,,General Motors Enterprise Road,General Motors Enterprise Road,00:00:00,42,6,00:00:00,00:00:00,1,78,00:11:36,00:01:12,0,0,0,0,58,0,1,0,35,0,0,0
KDC 513X,,Athi River Epz,Athi River Epz,00:00:00,76,26,00:00:00,00:00:42,0,60,00:04:45,00:03:57,0,0,0,0,134,0,1,15,19,0,0,0
